1755157734436,0.000780
1755157734437,0.000878
1755157734438,0.000797
1755157734438,0.000844
1755157734438,0.000771
1755157734438,0.000717
1755157734578,0.000755
1755157734886,0.000783
1755157735297,0.000771
1755157735602,0.000789
1755157736012,0.000743
1755157736319,0.000797
1755157736730,0.000813
1755157737036,0.000817
1755157737447,0.000806
1755157737753,0.000808
1755157738162,0.000841
1755157738471,0.000778
1755157738879,0.000781
1755157739187,0.000789
1755157739598,0.000804
1755157739903,0.000800
1755157740313,0.000821
1755157740620,0.000856
1755157741030,0.000816
1755157741441,0.000851
1755157741747,0.000827
1755157742156,0.000816
1755157742465,0.000821
1755157742875,0.000874
1755157743182,0.000865
1755157743591,0.000880
1755157743897,0.000870
1755157744307,0.000859
1755157744615,0.000782
1755157745025,0.000817
1755157745331,0.000797
1755157745740,0.000770
1755157746048,0.000809
1755157746364,0.000878
1755157746767,0.000857
1755157747174,0.000823
1755157747487,0.000785
1755157747891,0.000764
1755157748199,0.000777
1755157748609,0.000719
1755157748916,0.000724
1755157749324,0.000709
1755157749632,0.000704
1755157750041,0.000720
1755157750348,0.000705
1755157750758,0.000702
1755157751067,0.000694
1755157751489,0.000756
1755157751782,0.000711
1755157752192,0.000692
1755157752603,0.000713
1755157752908,0.000755
1755157753205,0.000788
1755157753627,0.000764
1755157754035,0.000775
1755157754342,0.000747
1755157754752,0.000756
1755157755059,0.000757
1755157755470,0.000737
1755157755777,0.000741
1755157756185,0.000719
1755157756495,0.000715
1755157756870,0.000765
1755157757209,0.000738
1755157757619,0.000727
1755157757927,0.000750
1755157758338,0.000764
1755157758648,0.000763
1755157759052,0.000762
1755157759360,0.000765
1755157759770,0.000759
1755157760077,0.000772
1755157760487,0.000756
1755157760795,0.000808
1755157761204,0.000768
1755157761511,0.000772
1755157761920,0.000790
1755157762227,0.000779
1755157762638,0.000757
1755157762943,0.000740
1755157763355,0.000743
1755157763660,0.000751
1755157764070,0.000774
1755157764481,0.000761
1755157764786,0.000769
1755157765197,0.000712
1755157765506,0.000748
1755157765914,0.000739
1755157766170,0.000750
1755157766529,0.000739
1755157766937,0.000708
1755157767347,0.000693
1755157767654,0.000744
1755157768070,0.000717
1755157768371,0.000716
1755157768781,0.000759
1755157769089,0.000740
1755157769499,0.000741
1755157769806,0.000768
1755157770214,0.000709
1755157770522,0.000746
1755157770931,0.000747
1755157771238,0.000724
1755157771648,0.000699
1755157771956,0.000715
1755157772364,0.000724
1755157772672,0.000715
1755157773082,0.000699
1755157773391,0.000723
1755157773799,0.000682
1755157774106,0.000727
1755157774516,0.000734
1755157774824,0.000647
1755157775171,0.000667
1755157775541,0.000692
1755157775949,0.000682
1755157776358,0.000672
1755157776665,0.000670
1755157777081,0.000679
1755157777386,0.000675
1755157777793,0.000700
1755157778099,0.000722
1755157778511,0.000710
1755157778816,0.000690
1755157779226,0.000684
1755157779539,0.000673
1755157779942,0.000672
1755157780249,0.000677
1755157780659,0.006606
1755157780967,0.013430
1755157781376,0.012107
1755157781683,0.012904
1755157782006,0.013087
1755157782400,0.013785
1755157782811,0.013858
1755157783118,0.014005
1755157783528,0.014323
1755157783834,0.014187
1755157784172,0.014112
1755157784550,0.014139
1755157784960,0.013899
1755157785267,0.014201
1755157785678,0.013912
1755157785985,0.014435
1755157786393,0.014330
1755157786701,0.014198
1755157787110,0.014292
1755157787521,0.014538
1755157787827,0.014276
1755157788239,0.014511
1755157788544,0.014580
1755157788953,0.014467
1755157789263,0.014561
1755157789671,0.014649
1755157789978,0.014476
1755157790387,0.014456
1755157790694,0.011530
1755157791105,0.001478
1755157791413,0.037198
1755157791821,0.110737
1755157792128,0.048463
1755157792540,0.003880
1755157792845,0.093005
1755157793168,0.076863
1755157793562,0.004779
1755157793971,0.068419
1755157794280,0.095813
1755157794688,0.005446
1755157794997,0.048170
1755157795406,0.099716
1755157795712,0.006647
1755157796122,0.026987
1755157796429,0.105576
1755157796839,0.020913
1755157797146,0.003999
1755157797555,0.085082
1755157797845,0.059344
1755157798272,0.003361
1755157798579,0.061575
1755157798989,0.082462
1755157799399,0.003880
1755157799706,0.049726
1755157800115,0.097670
1755157800422,0.004188
1755157800832,0.024040
1755157801145,0.096932
1755157801549,0.010973
1755157801856,0.003202
1755157802166,0.087592
1755157802526,0.030382
1755157802983,0.002377
1755157803289,0.085482
1755157803699,0.058775
1755157804006,0.002367
1755157804417,0.071481
1755157804725,0.084299
1755157805133,0.002272
1755157805440,0.050709
1755157805850,0.095351
1755157806157,0.004998
1755157806567,0.016290
1755157806874,0.096882
1755157807206,0.039561
1755157807591,0.003404
1755157808001,0.073145
1755157808308,0.065563
1755157808717,0.003547
1755157809025,0.053654
1755157809434,0.083695
1755157809741,0.004050
1755157810151,0.031979
1755157810560,0.090577
1755157810867,0.010348
1755157811177,0.009610
1755157811587,0.092183
1755157811994,0.026170
1755157812301,0.004475
1755157812649,0.080018
1755157813018,0.050583
1755157813428,0.003046
1755157813735,0.063109
1755157814144,0.062871
1755157814453,0.003858
1755157814861,0.037671
1755157815168,0.085911
1755157815578,0.005172
1755157815885,0.009808
1755157816295,0.094749
1755157816602,0.034052
1755157817012,0.004090
1755157817319,0.071479
1755157817728,0.050829
1755157818036,0.003550
1755157818447,0.051753
1755157818752,0.076893
1755157819162,0.004142
1755157819470,0.009484
1755157819879,0.097541
1755157820167,0.014341
1755157820596,0.003800
1755157820902,0.091345
1755157821312,0.060447
1755157821722,0.003352
1755157822029,0.069293
1755157822439,0.075699
1755157822746,0.003439
1755157823155,0.043909
1755157823464,0.096426
1755157823872,0.004966
1755157824180,0.025408
1755157824589,0.100858
1755157824897,0.006473
1755157825307,0.011856
1755157825613,0.103736
1755157826023,0.018247
1755157826331,0.003121
1755157826646,0.089707
1755157827047,0.046368
1755157827457,0.002722
1755157827764,0.063214
1755157828173,0.063482
1755157828481,0.002968
1755157828890,0.056982
1755157829177,0.075112
1755157829607,0.003059
1755157829914,0.034737
1755157830324,0.091169
1755157830631,0.004515
1755157831040,0.012926
1755157831348,0.100689
1755157831757,0.010297
1755157832064,0.002541
1755157832475,0.083170
1755157832781,0.036292
1755157833126,0.002800
1755157833600,0.078237
1755157833908,0.052133
1755157834323,0.003130
1755157834624,0.061952
1755157835034,0.072593
1755157835341,0.003328
1755157835751,0.025135
1755157836058,0.085377
1755157836469,0.004832
1755157836776,0.004236
1755157837184,0.091391
1755157837493,0.011845
1755157837901,0.003121
1755157838177,0.074693
1755157838618,0.043009
1755157838925,0.003277
1755157839337,0.051176
1755157839643,0.076648
1755157840052,0.002861
1755157840367,0.026376
1755157840769,0.100901
1755157841076,0.013158
1755157841487,0.002535
1755157841792,0.084140
1755157842202,0.070730
1755157842511,0.002584
1755157842919,0.028327
1755157843226,0.098788
1755157843636,0.008109
1755157843944,0.002970
1755157844352,0.088266
1755157844763,0.065902
1755157845070,0.003378
1755157845480,0.041842
1755157845786,0.097698
1755157846196,0.007512
1755157846504,0.003635
1755157846912,0.079890
1755157847177,0.073520
1755157847528,0.003135
1755157847937,0.030363
1755157848346,0.095962
1755157848660,0.018539
1755157849063,0.003452
1755157849370,0.071014
1755157849780,0.084609
1755157850087,0.003998
1755157850498,0.007259
1755157850804,0.099539
1755157851213,0.024390
1755157851521,0.002769
1755157851932,0.054990
1755157852237,0.085573
1755157852647,0.004998
1755157852954,0.004284
1755157853364,0.086057
1755157853671,0.017952
1755157854083,0.003219
1755157854389,0.078119
1755157854797,0.051423
1755157855106,0.003101
1755157855520,0.040825
1755157855807,0.088621
1755157856179,0.004016
1755157856641,0.018842
1755157856948,0.096562
1755157857357,0.009213
1755157857665,0.002955
1755157858074,0.082038
1755157858383,0.046687
1755157858791,0.003069
1755157859100,0.054955
1755157859510,0.072235
1755157859815,0.003529
1755157860225,0.020462
1755157860534,0.098872
1755157860944,0.020362
1755157861249,0.003012
1755157861659,0.002514
1755157861966,0.002542
1755157862375,0.002274
1755157862682,0.002165
1755157863093,0.002149
1755157863399,0.002285
1755157863808,0.002297
1755157864117,0.002171
1755157864528,0.002173
1755157864834,0.001975
1755157865178,0.001579
1755157865550,0.001542
1755157865960,0.001601
1755157866268,0.001562
1755157866676,0.025188
1755157866983,0.065872
1755157867393,0.087858
1755157867803,0.002817
1755157868111,0.054660
1755157868520,0.083406
1755157868826,0.003449
1755157869236,0.043119
1755157869544,0.082353
1755157869955,0.004630
1755157870260,0.029145
1755157870669,0.097299
1755157870978,0.013600
1755157871393,0.014649
1755157871694,0.105197
1755157872104,0.037714
1755157872410,0.008625
1755157872821,0.086811
1755157873128,0.067393
1755157873538,0.005198
1755157873844,0.058637
1755157874169,0.094323
1755157874563,0.009136
1755157874970,0.021777
1755157875278,0.097881
1755157875687,0.060153
1755157875994,0.005764
1755157876405,0.057710
1755157876711,0.089366
1755157877121,0.006224
1755157877430,0.028556
1755157877840,0.099772
1755157878146,0.047097
1755157878555,0.006638
1755157878862,0.069718
1755157879274,0.094562
1755157879681,0.011038
1755157879990,0.020971
1755157880398,0.092263
1755157880705,0.059577
1755157881115,0.003760
1755157881423,0.002906
1755157881833,0.002734
1755157882139,0.002618
1755157882548,0.002486
1755157882857,0.002415
1755157883178,0.002317
1755157883574,0.002096
1755157883981,0.002106
1755157884289,0.002033
1755157884699,0.002073
1755157885005,0.002012
1755157885415,0.001739
1755157885725,0.001780
1755157886132,0.001817
1755157886439,0.001591
1755157886850,0.001559
1755157887156,0.001508
1755157887565,0.001490
1755157887874,0.001382
1755157888282,0.001314
1755157888592,0.001305
1755157888999,0.001385
1755157889307,0.001474
1755157889717,0.001307
1755157890023,0.001552
1755157890433,0.001495
