baseline_ns,cam5,cam6
10417642594345,10417642594345,10417646243365,10417648076977
10417642594345,10417642594345,10417646243365,10417648076977
10417642594345,10417642594345,10417646243365,10417648076977
10417646243365,10417646243365,10417648076977
10417646243365,10417646243365,10417648076977
10417675351273,10417675351273,10417679651909
10417675351273,10417675351273,10417679651909
10417675351273,10417675351273,10417679651909,10417679759798
10417675351273,10417675351273,10417679651909,10417679759798
10417675351273,10417675351273,10417679651909,10417679759798
10417679651909,10417679651909,10417679759798
10417679651909,10417679651909,10417679759798
10417709046350,10417709046350,10417713744389
10417709046350,10417709046350,10417713744389
10417709046350,10417709046350,10417713744389,10417712343170
10417709046350,10417709046350,10417713744389,10417712343170
10417709046350,10417709046350,10417713744389,10417712343170
10417712343170,10417713744389,10417712343170
10417712343170,10417713744389,10417712343170
10417741686461,10417741686461,10417746749751
10417741686461,10417741686461,10417746749751
10417741686461,10417741686461,10417746749751,10417746951389
10417741686461,10417741686461,10417746749751,10417746951389
10417741686461,10417741686461,10417746749751,10417746951389
10417746749751,10417746749751,10417746951389
10417746749751,10417746749751,10417746951389
10417774902852,10417774902852,10417778969434
10417774902852,10417774902852,10417778969434
10417774902852,10417774902852,10417778969434,10417780524792
10417774902852,10417774902852,10417778969434,10417780524792
10417774902852,10417774902852,10417778969434,10417780524792
10417778969434,10417778969434,10417780524792
10417778969434,10417778969434,10417780524792
10417809147762,10417809147762,10417812365115
10417809147762,10417809147762,10417812365115
10417809147762,10417809147762,10417812365115,10417816993915
10417809147762,10417809147762,10417812365115,10417816993915
10417809147762,10417809147762,10417812365115,10417816993915
10417812365115,10417812365115,10417816993915
10417812365115,10417812365115,10417816993915
10417841761990,10417841761990,10417846629022
10417841761990,10417841761990,10417846629022
10417841761990,10417841761990,10417846629022,10417848728785
10417841761990,10417841761990,10417846629022,10417848728785
10417841761990,10417841761990,10417846629022,10417848728785
10417846629022,10417846629022,10417848728785
10417846629022,10417846629022,10417848728785
10417875041723,10417875041723,10417879120753
10417875041723,10417875041723,10417879120753
10417875041723,10417875041723,10417879120753,10417880521558
10417875041723,10417875041723,10417879120753,10417880521558
10417875041723,10417875041723,10417879120753,10417880521558
10417875041723,10417875041723,10417880521558
10417875041723,10417875041723,10417880521558
10417910437388,10417910437388,10417915116620
10417910437388,10417910437388,10417915116620
10417910437388,10417910437388,10417915116620,10417915664560
10417910437388,10417910437388,10417915116620,10417915664560
10417910437388,10417910437388,10417915116620,10417915664560
10417915116620,10417915116620,10417915664560
10417915116620,10417915116620,10417915664560
10417941770169,10417941770169,10417945478150
10417941770169,10417941770169,10417945478150
10417941770169,10417941770169,10417945478150,10417947243256
10417941770169,10417941770169,10417945478150,10417947243256
10417941770169,10417941770169,10417945478150,10417947243256
10417945478150,10417945478150,10417947243256
10417945478150,10417945478150,10417947243256
10417975650205,10417975650205,10417980423019
10417975650205,10417975650205,10417980423019
10417975650205,10417975650205,10417978942752,10417980423019
10417975650205,10417975650205,10417978942752,10417980423019
10417975650205,10417975650205,10417978942752,10417980423019
10417978942752,10417978942752,10417980423019
10417978942752,10417978942752,10417980423019
10418009531164,10418009531164,10418012280576
10418009531164,10418009531164,10418012280576
10418009531164,10418009531164,10418012280576,10418013873073
10418009531164,10418009531164,10418012280576,10418013873073
10418009531164,10418009531164,10418012280576,10418013873073
10418012280576,10418012280576,10418013873073
10418012280576,10418012280576,10418013873073
10418041794672,10418041794672,10418046858207
10418041794672,10418041794672,10418046858207
10418041794672,10418041794672,10418045600487,10418046858207
10418041794672,10418041794672,10418045600487,10418046858207
10418041794672,10418041794672,10418045600487,10418046858207
10418045600487,10418045600487,10418046858207
10418045600487,10418045600487,10418046858207
10418074832390,10418074832390,10418079240024
10418074832390,10418074832390,10418079240024
10418074832390,10418074832390,10418080309527,10418079240024
10418074832390,10418074832390,10418080309527,10418079240024
10418074832390,10418074832390,10418080309527,10418079240024
10418079240024,10418080309527,10418079240024
10418079240024,10418080309527,10418079240024
10418108188007,10418108188007,10418112356926
10418108188007,10418108188007,10418112356926
10418108188007,10418108188007,10418112356926,10418114162925
10418108188007,10418108188007,10418112356926,10418114162925
10418108188007,10418108188007,10418112356926,10418114162925
10418112356926,10418112356926,10418114162925
10418112356926,10418112356926,10418114162925
10418141545100,10418141545100,10418145701363
10418141545100,10418141545100,10418145701363
10418141545100,10418141545100,10418145701363,10418146885812
10418141545100,10418141545100,10418145701363,10418146885812
10418141545100,10418141545100,10418145701363,10418146885812
10418145701363,10418145701363,10418146885812
10418145701363,10418145701363,10418146885812
10418175120130,10418175120130,10418178817772
10418175120130,10418175120130,10418178817772
10418175120130,10418175120130,10418178817772,10418188127757
10418175120130,10418175120130,10418178817772,10418188127757
10418175120130,10418175120130,10418178817772,10418188127757
10418178817772,10418178817772,10418188127757
10418178817772,10418178817772,10418188127757
10418208257864,10418208257864,10418213474739
10418208257864,10418208257864,10418213474739
10418208257864,10418208257864,10418213538289,10418213474739
10418208257864,10418208257864,10418213538289,10418213474739
10418208257864,10418208257864,10418213538289,10418213474739
10418213474739,10418213538289,10418213474739
10418213474739,10418213538289,10418213474739
10418241654676,10418241654676,10418245773592
10418241654676,10418241654676,10418245773592
10418241654676,10418241654676,10418245773592,10418250985760
10418241654676,10418241654676,10418245773592,10418250985760
10418241654676,10418241654676,10418245773592,10418250985760
10418245773592,10418245773592,10418250985760
10418245773592,10418245773592,10418250985760
10418274991412,10418274991412,10418282373287
10418274991412,10418274991412,10418282373287
10418274991412,10418274991412,10418279339056,10418282373287
10418274991412,10418274991412,10418279339056,10418282373287
10418274991412,10418274991412,10418279339056,10418282373287
10418279339056,10418279339056,10418282373287
10418279339056,10418279339056,10418282373287
10418308214279,10418308214279,10418312323169
10418308214279,10418308214279,10418312323169
10418308214279,10418308214279,10418312323169,10418313978434
10418308214279,10418308214279,10418312323169,10418313978434
10418308214279,10418308214279,10418312323169,10418313978434
10418312323169,10418312323169,10418313978434
10418312323169,10418312323169,10418313978434
10418341623406,10418341623406,10418346448430
10418341623406,10418341623406,10418346448430
10418341623406,10418341623406,10418346448430,10418346603821
10418341623406,10418341623406,10418346448430,10418346603821
10418341623406,10418341623406,10418346448430,10418346603821
10418341623406,10418341623406,10418346448430
10418341623406,10418341623406,10418346448430
10418377503422,10418377503422,10418380579046
10418377503422,10418377503422,10418380579046
10418377503422,10418377503422,10418379353844,10418380579046
10418377503422,10418377503422,10418379353844,10418380579046
10418377503422,10418377503422,10418379353844,10418380579046
10418379353844,10418379353844,10418380579046
10418379353844,10418379353844,10418380579046
10418408355216,10418408355216,10418413521569
10418408355216,10418408355216,10418413521569
10418408355216,10418408355216,10418413291068,10418413521569
10418408355216,10418408355216,10418413291068,10418413521569
10418408355216,10418408355216,10418413291068,10418413521569
10418413291068,10418413291068,10418413521569
10418413291068,10418413291068,10418413521569
10418441477063,10418441477063,10418445523909
10418441477063,10418441477063,10418445523909
10418441477063,10418441477063,10418445523909,10418446997800
10418441477063,10418441477063,10418445523909,10418446997800
10418441477063,10418441477063,10418445523909,10418446997800
10418445523909,10418445523909,10418446997800
10418445523909,10418445523909,10418446997800
10418474812527,10418474812527,10418480606356
10418474812527,10418474812527,10418480606356
10418474812527,10418474812527,10418480606356,10418480879613
10418474812527,10418474812527,10418480606356,10418480879613
10418474812527,10418474812527,10418480606356,10418480879613
10418480606356,10418480606356,10418480879613
10418480606356,10418480606356,10418480879613
10418508105646,10418508105646,10418514728325
10418508105646,10418508105646,10418514728325
10418508105646,10418508105646,10418514728325,10418517321588
10418508105646,10418508105646,10418514728325,10418517321588
10418508105646,10418508105646,10418514728325,10418517321588
10418514728325,10418514728325,10418517321588
10418514728325,10418514728325,10418517321588
10418541442844,10418541442844,10418547359333
10418541442844,10418541442844,10418547359333
10418541442844,10418541442844,10418545932085,10418547359333
10418541442844,10418541442844,10418545932085,10418547359333
10418541442844,10418541442844,10418545932085,10418547359333
10418541442844,10418541442844,10418547359333
10418541442844,10418541442844,10418547359333
10418575461311,10418575461311,10418581053338
10418575461311,10418575461311,10418581053338
10418575461311,10418575461311,10418581053338,10418580893658
10418575461311,10418575461311,10418581053338,10418580893658
10418575461311,10418575461311,10418581053338,10418580893658
10418580893658,10418581053338,10418580893658
10418580893658,10418581053338,10418580893658
10418608172152,10418608172152,10418616934444
10418608172152,10418608172152,10418616934444
10418608172152,10418608172152,10418616018935,10418616934444
10418608172152,10418608172152,10418616018935,10418616934444
10418608172152,10418608172152,10418616018935,10418616934444
