1,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
1,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
0,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.09627,-0.0220862,4.61866
2,1.75207e+09,-3.12428,0.0762498,4.82441
2,1.75207e+09,-3.12428,0.0762498,4.82441
2,1.75207e+09,0.0638082,-0.0373464,-0.524975
2,1.75207e+09,0.0638082,-0.0373464,-0.524975
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
0,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635719,-0.0388734,-0.52351
2,1.75207e+09,0.0635155,-0.0389748,-0.52381
2,1.75207e+09,0.0635155,-0.0389748,-0.52381
2,1.75207e+09,0.0635155,-0.0389748,-0.52381
0,1.75207e+09,0.0636279,-0.0386815,-0.525278
0,1.75207e+09,0.0636279,-0.0386815,-0.525278
0,1.75207e+09,0.0636279,-0.0386815,-0.525278
1,1.75207e+09,0.063548,-0.038239,-0.524393
0,1.75207e+09,0.063548,-0.038239,-0.524393
1,1.75207e+09,0.124404,-0.0912792,-0.539058
0,1.75207e+09,0.124404,-0.0912792,-0.539058
1,1.75207e+09,0.124404,-0.0912792,-0.539058
1,1.75207e+09,0.124404,-0.0912792,-0.539058
0,1.75207e+09,0.124404,-0.0912792,-0.539058
2,1.75207e+09,0.124404,-0.0912792,-0.539058
2,1.75207e+09,0.124404,-0.0912792,-0.539058
0,1.75207e+09,0.124404,-0.0912792,-0.539058
0,1.75207e+09,0.124404,-0.0912792,-0.539058
2,1.75207e+09,0.124404,-0.0912792,-0.539058
0,1.75207e+09,0.124404,-0.0912792,-0.539058
2,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
2,1.75207e+09,0.0720502,-0.0415845,-0.699456
2,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
2,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
2,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
2,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
0,1.75207e+09,0.0720502,-0.0415845,-0.699456
1,1.75207e+09,0.0720502,-0.0415845,-0.699456
